Year,Round,Team1,Team2,Team1.Result,Team2.Result,Team1.1QTotal,Team1.2QTotal,Team1.3QTotal,Team1.4QTotal,Team2.1QTotal,Team2.2QTotal,Team2.3QTotal,Team2.4QTotal
2018,1,Richmond Tigers,Carlton Blues,W,L,21,32,15,37,20,22,18,20
2018,1,Collingwood Magpies,Western Bulldogs,L,W,8,22,7,16,20,21,20,8
2018,1,Melbourne Demons,Freemantle Dockers,W,L,28,20,14,18,4,22,19,13
2018,1,Adelaide Crows,Geelong Cats,W,L,28,45,14,16,15,20,33,23
2018,1,Essendon Bombers,Hawthorn Hawks,L,W,16,50,10,15,19,8,48,17
2018,1,Brisbane Lions,Sydney Swans,L,W,21,31,15,27,16,36,56,17
2018,1,North Melbourne Kangaroos,Port Adelaide Power,L,W,16,8,14,27,14,50,28,25
2018,1,GWS Giants,St Kilda Saints,L,W,15,14,28,21,8,28,24,26
2018,1,West Coast Eagles,Gold Coast Suns,W,L,21,13,15,34,16,13,21,8
2018,2,Carlton Blues,Collingwood Magpies,L,W,20,31,25,9,38,33,14,21
2018,2,Geelong Cats,Brisbane Lions,W,L,33,20,21,7,17,16,20,27
2018,2,Sydney Swans,Adelaide Crows,W,L,25,35,41,20,20,10,20,38
2018,2,Port Adelaide Power,Essendon Bombers,W,L,37,35,28,19,10,21,13,21
2018,2,St Kilda Saints,Melbourne Demons,L,W,20,19,13,21,22,21,24,24
2018,2,Gold Coast Suns,North Melbourne Kangaroos,W,L,22,38,16,22,8,8,19,4
2018,2,Hawthorn Hawks,Richmond Tigers,L,W,7,25,7,10,28,27,7,16
2018,2,Western Bulldogs,West Coast Eagles,W,L,21,25,20,34,20,19,39,15
2018,2,Freemantle Dockers,GWS Giants,W,L,30,12,28,17,11,4,15,26
2018,3,Carlton Blues,Collingwood Magpies,L,W,20,2,28,26,24,34,24,18
2018,3,Port Adelaide Power,Brisbane Lions,W,L,30,19,43,5,24,36,14,18
2018,3,Melbourne Demons,North Melbourne Kangaroos,W,L,20,41,24,38,33,19,14,20
2018,3,Gold Coast Suns,Freemantle Dockers,L,W,13,27,21,7,29,11,33,23
2018,3,Sydney Swans,GWS Giants,W,L,22,24,31,26,17,23,15,32
2018,3,St Kilda Saints,Adelaide Crows,L,W,18,9,9,19,20,17,39,28
2018,3,Richmond Tigers,Hawthorn Hawks,W,L,33,22,28,19,16,20,14,39
2018,3,Western Bulldogs,Essendon Bombers,W,L,27,31,24,22,20,22,19,22
2018,3,West Coast Eagles,Geelong Cats,W,L,30,21,2,42,14,5,39,22
